Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21
Czy jest grafika,Obrazek z tekstu,Ile jest obrazków,Czy s? obrazki tylko online?,Kod zapisu obrazków offline,LIKE,LOVE,HUG,HAHA,WOW,CRY,WRR,Liczba komentarzy
1-0,1-0,liczba,1-0,LP_Koder,Liczba,Liczba,Liczba,Liczba,Liczba,Liczba,Liczba,Liczba
1,1,1,1,NA,3,2,,,,,,77
1,0,37,1,551_G,7,2,,,,,,
1,0,2,0,552_G,340,96,,,6,,,101
0,0,0,0,NA,,,,,,,,22
1,0,1,0,554_G,8,,,,,,,2
1,0,6,0,555_G,12,1,,,,,,9
1,0,1,0,556_G,59,1,,,,,,14
0,0,0,0,NA,2,,,,,,,20
1,0,14,1,NA,6,3,,,,,,
1,0,1,0,559_G,4,,,,,,,
1,0,3,0,560_G,29,5,,,1,,,12
1,0,5,0,561_G,12,,,,,,,6
1,0,3,0,562_G,88,10,,,4,,,24
1,0,2,0,563_G,1,1,,,,,,
1,0,10,1,564_G,,,,,,,,
1,0,7,1,565_G,10,2,1,,,,,7
1,0,7,1,566_G,,,,,,,,
1,0,1,0,567_G,2,,,,,,,9
0,0,0,0,NA,1,,,,,,,17
1,0,1,0,569_G,6,,1,,,,,
1,0,1,0,570_G,1,,,,,,,24
1,0,1,0,571_G,52,4,,1,1,,,29
0,0,0,0,NA,1,,,,,,,13
1,0,1,0,573_G,2,,,,,,,
1,0,1,0,574_G,1,,,,,,,
0,0,0,0,NA,1,,,,,1,,10
1,0,4,0,576_G,28,1,,,,,,4
1,0,1,1,NA,9,4,,6,,,,1
0,0,0,0,NA,,,,,,,,7
1,0,1,1,NA,115,29,3,4,3,,,42
1,0,10,1,580_G,9,3,,,,,,10
1,0,22,1,581_G,6,1,,,,,,
1,0,26,1,NA,8,4,,,,,,2
