,Z9,Z10,Z11,Z12,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21
243,0,0,0.0,0,0.000625,0.0,0.002155,0.0,0.010101,0.0,0.0,0
244,1,0,0.012821,1,0.004375,0.002119,0.0,0.0,0.010101,0.0,0.0,0
245,1,0,0.012821,1,0.005,0.008475,0.0,0.0,0.0,0.0,0.0,0
246,1,0,0.115385,0,0.018125,0.0,0.0,0.0,0.0,0.0,0.0,0
247,1,0,0.064103,0,0.003125,0.002119,0.0,0.0,0.0,0.0,0.0,0
248,1,0,0.012821,0,0.044375,0.0,0.0,0.0,0.0,0.0,0.0,1
249,1,0,0.012821,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
250,1,0,0.012821,0,0.013125,0.0,0.0,0.0,0.0,0.0,0.0,0
251,1,0,0.051282,1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0
252,0,0,0.0,0,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,1
253,0,0,0.0,0,0.005,0.0,0.002155,0.0,0.0,0.0,0.0,1
254,0,0,0.0,0,0.006875,0.0,0.0,0.0,0.0,0.0,0.0,0
255,1,0,0.012821,1,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0
256,1,1,0.012821,1,0.00375,0.0,0.0,0.0,0.0,0.0,0.0,1
257,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
258,1,0,0.012821,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0
259,1,0,0.012821,0,0.004375,0.0,0.0,0.0,0.0,0.0,0.0,0
260,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
261,1,0,0.064103,0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0
262,1,0,0.012821,1,0.02125,0.0,0.0,0.0,0.0,0.0,0.0,1
263,1,0,0.012821,0,0.014375,0.0,0.0,0.0,0.0,0.0,0.0,0
264,1,0,0.064103,1,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0
265,0,0,0.0,0,0.3475,0.319915,0.019397,0.037037,0.0,0.0,0.0,1
266,1,0,0.115385,1,0.226875,0.15678,0.002155,0.0,0.010101,0.0,0.0,1
267,1,0,0.064103,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
268,0,0,0.0,0,0.110625,0.154661,0.00431,0.0,0.010101,0.0,0.0,1
269,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
270,1,0,0.089744,0,0.0325,0.008475,0.0,0.0,0.0,0.0,0.0,0
271,1,0,0.012821,0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0
272,1,0,0.025641,0,0.001875,0.0,0.0,0.0,0.0,0.0,0.0,1
273,1,0,0.025641,0,0.005625,0.012712,0.0,0.0,0.0,0.0,0.0,0
274,0,0,0.0,0,0.00125,0.0,0.0,0.0,0.020202,0.0,0.0,0
275,1,0,0.012821,0,0.004375,0.006356,0.0,0.0,0.0,0.0,0.0,0
276,1,0,0.012821,0,0.00625,0.004237,0.0,0.0,0.0,0.0,0.0,1
277,1,0,0.012821,0,0.01,0.021186,0.0,0.0,0.0,0.0,0.0,1
278,1,0,0.0,1,0.0,0.002119,0.0,0.0,0.0,0.0,0.0,0
279,0,0,0.0,0,0.001875,0.0,0.0,0.0,0.0,0.0,0.0,0
280,1,0,0.038462,0,0.003125,0.0,0.0,0.0,0.0,0.0,0.0,0
281,1,0,0.025641,0,0.006875,0.0,0.0,0.0,0.0,0.0,0.0,1
282,1,0,0.064103,0,0.00625,0.004237,0.002155,0.0,0.0,0.0,0.0,1
283,1,0,0.012821,0,0.00375,0.004237,0.0,0.0,0.0,0.0,0.0,0
284,0,0,0.0,0,0.000625,0.0,0.0,0.0,0.010101,0.0,0.0,0
285,1,0,0.012821,0,0.001875,0.002119,0.0,0.0,0.0,0.0,0.0,0
286,1,0,0.012821,0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0
287,1,0,0.012821,0,0.005,0.006356,0.0,0.0,0.0,0.0,0.0,0
288,0,0,0.0,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,1
289,1,0,0.115385,0,0.001875,0.0,0.0,0.0,0.0,0.0,0.0,0
290,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
291,1,0,0.064103,0,0.044375,0.052966,0.0,0.0,0.131313,0.0,0.0,1
292,0,0,0.0,0,0.0025,0.002119,0.0,0.0,0.0,0.0,0.0,0
293,1,0,0.0,1,0.001875,0.0,0.0,0.0,0.0,0.0,0.0,1
294,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
295,0,0,0.0,0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,1
296,1,0,0.012821,0,0.003125,0.0,0.0,0.0,0.0,0.0,0.0,0
297,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
298,1,0,0.012821,0,0.003125,0.0,0.0,0.0,0.0,0.0,0.0,0
299,1,0,0.038462,0,0.015,0.006356,0.0,0.0,0.0,0.0,0.0,1
300,1,0,0.166667,1,0.00375,0.002119,0.0,0.0,0.0,0.0,0.0,0
301,1,0,0.115385,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0
302,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
303,0,0,0.0,0,0.0,0.0,0.002155,0.0,0.0,0.0,0.0,0
304,1,1,0.012821,1,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,1
305,1,0,0.038462,0,0.025,0.002119,0.0,0.0,0.0,0.0,0.0,1
306,1,0,0.012821,1,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0
307,0,0,0.0,0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,1
308,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
309,0,0,0.0,0,0.001875,0.0,0.0,0.0,0.0,0.0,0.0,1
310,1,0,0.012821,1,0.0025,0.008475,0.0,0.0,0.0,0.0,0.0,0
